Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,12/14/2018,0.028344729,0.028831551,0.029308857,0.027572859,-0.000490155,-0.017292633,-1.547527691
ADA,Cardano,12/15/2018,0.028139256,0.028345416,0.028370466,0.027421623,-0.000205473,-0.007302005,-1.550687389
ADA,Cardano,12/16/2018,0.028842058,0.027863817,0.029582662,0.027833887,0.000702802,0.024367263,-1.539973754
ADA,Cardano,12/17/2018,0.031903223,0.028832051,0.033741195,0.028683352,0.003061165,0.095951591,-1.49616544
ADA,Cardano,12/18/2018,0.033336003,0.031902601,0.033593673,0.031425536,0.00143278,0.042979958,-1.477086473
ADA,Cardano,12/19/2018,0.035174052,0.034570043,0.038539932,0.034135477,0.001838049,0.052255822,-1.453777599
ADA,Cardano,12/20/2018,0.039345628,0.035133959,0.040191086,0.0338046,0.004171576,0.106023876,-1.405103518
ADA,Cardano,12/21/2018,0.043092811,0.039364906,0.045958366,0.038346387,0.003747183,0.086956105,-1.365595175
ADA,Cardano,12/22/2018,0.04435669,0.042961629,0.045442524,0.040990113,0.001263879,0.028493537,-1.353040869
ADA,Cardano,12/23/2018,0.045113434,0.044356905,0.046459319,0.042475141,0.000756744,0.01677425,-1.345694113
ADA,Cardano,12/24/2018,0.046742884,0.044831245,0.050288098,0.044801916,0.00162945,0.034859852,-1.330284495
ADA,Cardano,12/25/2018,0.041469486,0.045940248,0.046198884,0.03907601,-0.005273398,-0.127163332,-1.382271348
ADA,Cardano,12/26/2018,0.041413524,0.041477997,0.043506061,0.038860883,-5.60E-05,-0.001351298,-1.382857813
ADA,Cardano,12/27/2018,0.036394304,0.041318145,0.041786642,0.036221313,-0.00501922,-0.13791224,-1.438966582
ADA,Cardano,12/28/2018,0.048911059,0.036396321,0.050062838,0.035891069,0.012516755,0.255908485,-1.310592934
ADA,Cardano,12/29/2018,0.040782894,0.041601921,0.050678765,0.040250778,-0.008128165,-0.199303291,-1.389521959
ADA,Cardano,12/30/2018,0.042908992,0.040782894,0.043350778,0.039773888,0.002126098,0.049549008,-1.367451688
ADA,Cardano,12/31/2018,0.042739492,0.0427215,0.042776981,0.042695161,-0.0001695,-0.003965887,-1.369170644
ADA,Cardano,1/1/2019,0.046397436,0.042687405,0.046485524,0.041751377,0.003657944,0.078839357,-1.333506019
ADA,Cardano,1/2/2019,0.047320767,0.046397436,0.048092433,0.045628496,0.000923331,0.019512173,-1.324948225
ADA,Cardano,1/3/2019,0.044490296,0.047322516,0.047458952,0.043572981,-0.002830471,-0.063619963,-1.351734705
ADA,Cardano,1/4/2019,0.044669041,0.04407819,0.045231759,0.043171702,0.000178745,0.004001541,-1.349993371
ADA,Cardano,1/5/2019,0.045363224,0.044669382,0.046492454,0.044263413,0.000694183,0.01530277,-1.343296087
ADA,Cardano,1/6/2019,0.058796882,0.045534543,0.059796842,0.045468934,0.013433658,0.228475687,-1.230645704
ADA,Cardano,1/7/2019,0.04914643,0.058835403,0.060541288,0.048502091,-0.009650452,-0.196361201,-1.308508024
ADA,Cardano,1/8/2019,0.049801731,0.049146492,0.051685943,0.048151785,0.000655301,0.013158197,-1.302755562
ADA,Cardano,1/9/2019,0.053142342,0.049812093,0.053561899,0.049750563,0.003340611,0.062861569,-1.27455931
ADA,Cardano,1/10/2019,0.043880337,0.053142279,0.054601222,0.041840248,-0.009262005,-0.211074154,-1.357730046
